Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",Symbol.NS
COSMOFIRST,COSMO FIRST LIMITED (XNSE:COSMOFIRST),154164.65,COSMOFIRST.NS
IMFA,Indian Metals & Ferro Alloys Limited,153742.23,IMFA.NS
SUPRIYA,Supriya Lifescience Ltd (XNSE:SUPRIYA),153520.94,SUPRIYA.NS
SAKSOFT,SAKSOFT LIMITED (XNSE:SAKSOFT),152986.28,SAKSOFT.NS
IIFLSEC,IIFL SECURITIES LIMITED (XNSE:IIFLSEC),152842.64,IIFLSEC.NS
SANGHVIMOV,SANGHVI MOVERS LIMITED (XNSE:SANGHVIMOV),152438.69,SANGHVIMOV.NS
GOKULAGRO,GOKUL AGRO RESOURCES LIMITED (XNSE:GOKULAGRO),151674.57,GOKULAGRO.NS
ALEMBICLTD,ALEMBIC LIMITED (XNSE:ALEMBICLTD),151629.67,ALEMBICLTD.NS
VENUSPIPES,VENUS PIPES & TUBES LIMITED (XNSE:VENUSPIPES),151408.98,VENUSPIPES.NS
SEAMECLTD,SEAMEC LIMITED (XNSE:SEAMECLTD),151291.46,SEAMECLTD.NS
TNPL,Tamil Nadu Newsprint & Papers Limited,151086.74,TNPL.NS
KPIGREEN,KPI GREEN ENERGY LIMITED (XNSE:KPIGREEN),150895.58,KPIGREEN.NS
BFINVEST,BF Investment Limited (XNSE:BFINVEST),150237.33,BFINVEST.NS
SESHAPAPER,SESHASAYEE PAPER AND BOARDS LIMITED (XNSE:SESHAPAPER),148651.61,SESHAPAPER.NS
DHAMPURSUG,DHAMPUR SUGAR MILLS LIMITED (XNSE:DHAMPURSUG),148409.46,DHAMPURSUG.NS
ANDHRSUGAR,THE ANDHRA SUGARS LIMITED (XNSE:ANDHRSUGAR),147055.9,ANDHRSUGAR.NS
KIRIINDUS,KIRI INDUSTRIES LIMITED (XNSE:KIRIINDUS),146716.73,KIRIINDUS.NS
TTKHLTCARE,TTK HEALTHCARE LIMITED (XNSE:TTKHLTCARE),146672.86,TTKHLTCARE.NS
CARYSIL,CARYSIL LIMITED (XNSE:CARYSIL),146040.94,CARYSIL.NS
GOCLCORP,GOCL CORPORATION LIMITED (XNSE:GOCLCORP),146040.56,GOCLCORP.NS
JSWISPL,JSW ISPAT SPECIAL PRODUCTS LIMITED (XNSE:JSWISPL),146029.28,JSWISPL.NS
STERTOOLS,STERLING TOOLS LIMITED (XNSE:STERTOOLS),145015.46,STERTOOLS.NS
SHALBY,SHALBY LIMITED (XNSE:SHALBY),144949.11,SHALBY.NS
TIDEWATER,TIDE WATER OIL CO INDIA LTD (XNSE:TIDEWATER),144601.78,TIDEWATER.NS
KRSNAA,KRSNAA DIAGNOSTICS LIMITED (XNSE:KRSNAA),144491.82,KRSNAA.NS
KRISHANA,KRISHANA PHOSCHEM LIMITED (XNSE:KRISHANA),144118.67,KRISHANA.NS
HUHTAMAKI,HUHTAMAKI INDIA LIMITED (XBOM:509820),143114.06,HUHTAMAKI.NS
BBL,BHARAT BIJLEE LIMITED (XNSE:BBL),143105.98,BBL.NS
SEPC,SEPC LIMITED (XNSE:SEPC),142625.4,SEPC.NS
ORISSAMINE,THE ORISSA MINERALS DEVELOPMENT COMPANY LIMITED (XNSE:ORISSAMINE),142155,ORISSAMINE.NS
FILATEX,FILATEX INDIA LIMITED (XNSE:FILATEX),141985.11,FILATEX.NS
THEJO,THEJO ENGINEERING LIMITED (XNSE:THEJO),141953.56,THEJO.NS
APTECHT,APTECH LIMITED (XNSE:APTECHT),141272.69,APTECHT.NS
ORIENTHOT,ORIENTAL HOTELS LIMITED (XNSE:ORIENTHOT),140736.15,ORIENTHOT.NS
DCXINDIA,DCX SYSTEMS LIMITED (XNSE:DCXINDIA),140684.58,DCXINDIA.NS
FOSECOIND,FOSECO INDIA LIMITED (XNSE:FOSECOIND),140444.62,FOSECOIND.NS
GOLDIAM,GOLDIAM INTERNATIONAL LIMITED (XNSE:GOLDIAM),140032.38,GOLDIAM.NS
SHANKARA,SHANKARA BUILDING PRODUCTS LIMITED (XNSE:SHANKARA),139974.97,SHANKARA.NS
INSECTICID,INSECTICIDES (INDIA) LIMITED (XNSE:INSECTICID),138207.1,INSECTICID.NS
THANGAMAYL,Thangamayil Jewellery Limited,137895.52,THANGAMAYL.NS
SHK,S H KELKAR AND COMPANY Limited (XNSE:SHK),137728.7,SHK.NS
TEXRAIL,TEXMACO RAIL & ENGINEERING LIMITED (XNSE:TEXRAIL),136633.77,TEXRAIL.NS
CANTABIL,CANTABIL RETAIL INDIA LIMITED (XNSE:CANTABIL),135674.26,CANTABIL.NS
GALLANTT,GALLANTT ISPAT LIMITED (XNSE:GALLANTT),134272.85,GALLANTT.NS
HERITGFOOD,HERITAGE FOODS LIMITED (XNSE:HERITGFOOD),133765.43,HERITGFOOD.NS
KCP,THE K C P LIMITED (XNSE:KCP),133433.4,KCP.NS
MOREPENLAB,MOREPEN LABORATORIES LIMITED (XNSE:MOREPENLAB),131881.53,MOREPENLAB.NS
GATI,GATI LIMITED (XNSE:GATI),130780.77,GATI.NS
RAMASTEEL,RAMA STEEL TUBES LIMITED (XNSE:RAMASTEEL),129731.66,RAMASTEEL.NS
HESTERBIO,HESTER BIOSCIENCES LIMITED (XNSE:HESTERBIO),129542.54,HESTERBIO.NS
NRBBEARING,NRB Bearing Limited,129488.59,NRBBEARING.NS
INDOSTAR,INDOSTAR CAPITAL FINANCE LIMITED (XNSE:INDOSTAR),129032.75,INDOSTAR.NS
MONTECARLO,MONTE CARLO FASHIONS LIMITED (XNSE:MONTECARLO),128901.61,MONTECARLO.NS
KSL,KALYANI STEELS LTD (XNSE:KSL),128689.22,KSL.NS
KDDL,KDDL LIMITED (XNSE:KDDL),128568.13,KDDL.NS
TCPLPACK,TCPL Packaging Limited (XNSE:TCPLPACK),128200.8,TCPLPACK.NS
MARATHON,MARATHON NEXTGEN REALTY LIMITED (XNSE:MARATHON),128016.62,MARATHON.NS
ARVSMART,ARVIND SMARTSPACES LIMITED (XNSE:ARVSMART),128006.34,ARVSMART.NS
DCW,D C W LIMITED (XNSE:DCW),127949.7,DCW.NS
DEN,DEN NETWORKS LIMITED (XNSE:DEN),127895.99,DEN.NS
STEELXIND,STEEL EXCHANGE INDIA LIMITED (XNSE:STEELXIND),127414.59,STEELXIND.NS
EIHAHOTELS,EIH ASSOCIATED HOTELS LIMITED (XNSE:EIHAHOTELS),127143.58,EIHAHOTELS.NS
IGPL,IG Petrochemicals Limited,127074.95,IGPL.NS
NITINSPIN,NITIN SPINNERS LIMITED (XNSE:NITINSPIN),126635.55,NITINSPIN.NS
EXPLEOSOL,EXPLEO SOLUTIONS LIMITED (XNSE:EXPLEOSOL),125987.66,EXPLEOSOL.NS
VERANDA,VERANDA LEARNING SOLUTIONS LIMITED (XNSE:VERANDA),125853.27,VERANDA.NS
SALASAR,SALASAR TECHNO ENGINEERING LIMITED (XNSE:SALASAR),125808.55,SALASAR.NS
STYRENIX,STYRENIX PERFORMANCE MATERIALS LIMITED (XNSE:STYRENIX),125789.98,STYRENIX.NS
ADORWELD,ADOR WELDING LIMITED (XNSE:ADORWELD),125187.49,ADORWELD.NS
BHAGCHEM,BHAGIRADHA CHEMICALS AND INDUSTRIES LTD. (XNSE:BHAGCHEM),124657.69,BHAGCHEM.NS
PCJEWELLER,PC JEWELLER LIMITED (XNSE:PCJEWELLER),124495.54,PCJEWELLER.NS
GENESYS,GENESYS INTERNATIONAL CORPORATION LIMITED (XNSE:GENESYS),124045.92,GENESYS.NS
STOVEKRAFT,STOVE KRAFT LIMITED (XNSE:STOVEKRAFT),123844.48,STOVEKRAFT.NS
RANEHOLDIN,RANE HOLDINGS LIMITED (XNSE:RANEHOLDIN),123638.69,RANEHOLDIN.NS
NDTV,NEW DELHI TELEVISION LIMITED (XNSE:NDTV),123591.42,NDTV.NS
XPROINDIA,XPRO INDIA LIMITED (XNSE:XPROINDIA),122624,XPROINDIA.NS
MANORAMA,MANORAMA INDUSTRIES LIMITED (XNSE:MANORAMA),122440.29,MANORAMA.NS
GRWRHITECH,GARWARE HI-TECH FILMS LIMITED (XNSE:GRWRHITECH),122260.47,GRWRHITECH.NS
HARIOMPIPE,HARIOM PIPE INDUSTRIES LIMITED (XNSE:HARIOMPIPE),121941.85,HARIOMPIPE.NS
SANDHAR,SANDHAR TECHNOLOGIES LIMITED (XNSE:SANDHAR),121494.94,SANDHAR.NS
AVTNPL,AVT NATURAL PRODUCTS LIMITED (XNSE:AVTNPL),120913.5,AVTNPL.NS
IWEL,INOX WIND ENERGY LIMITED (XNSE:IWEL),120741.63,IWEL.NS
SJS,S.J.S. Enterprises Limited,120549.32,SJS.NS
EVERESTIND,EVEREST INDUSTRIES LIMITED (XNSE:EVERESTIND),118937.68,EVERESTIND.NS
FAIRCHEMOR,FAIRCHEM ORGANICS LIMITED (XNSE:FAIRCHEMOR),118900.37,FAIRCHEMOR.NS
SASKEN,SASKEN TECHNOLOGIES LIMITED (XNSE:SASKEN),118390.15,SASKEN.NS
OAL,ORIENTAL AROMATICS LIMITED (XNSE:OAL),118241.84,OAL.NS
NELCO,NELCO LIMITED (XNSE:NELCO),118073.81,NELCO.NS
RIIL,RELIANCE INDUSTRIAL INFRASTRUCTURE LIMITED (XNSE:RIIL),118059.35,RIIL.NS
SOLARA,SOLARA ACTIVE PHARMA SCIENCES LIMITED (XNSE:SOLARA),117869.78,SOLARA.NS
TAJGVK,Taj GVK Hotels & Resorts Limited,117722.06,TAJGVK.NS
BOMDYEING,BOMBAY DYEING AND MFG. CO. LTD. (XNSE:BOMDYEING),117208.56,BOMDYEING.NS
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,116026.33,MANGCHEFER.NS
GOODLUCK,GOODLUCK INDIA LIMITED (XNSE:GOODLUCK),115907.2,GOODLUCK.NS
RPGLIFE,RPG Life Sciences Limited (XNSE:RPGLIFE),115847.53,RPGLIFE.NS
PATELENG,PATEL ENGINEERING LIMITED (XNSE:PATELENG),115655.78,PATELENG.NS
SPIC,Southern Petrochemicals Industries Corporation  Limited,114954.97,SPIC.NS
INOXGREEN,INOX GREEN ENERGY SERVICES LIMITED (XNSE:INOXGREEN),114878.13,INOXGREEN.NS
GIPCL,GUJARAT INDUSTRIES POWER COMPANY LTD. (XNSE:GIPCL),114799.65,GIPCL.NS
UNIVCABLES,UNIVERSAL CABLES LIMITED (XNSE:UNIVCABLES),114715.52,UNIVCABLES.NS
NSIL,NALWA SONS INVESTMENTS LIMITED tfr.from haryana to delhi (XNSE:NSIL),114505.62,NSIL.NS
HMT,H.M.T. LIMITED (XNSE:HMT),113765.49,HMT.NS
MATRIMONY,MATRIMONY.COM LIMITED (XNSE:MATRIMONY),113725.41,MATRIMONY.NS
MTNL,MAHANAGAR TELEPHONE NIGAM LIMITED (XNSE:MTNL),113715,MTNL.NS
SDBL,SOM DISTILLERIES AND BREWERIES LIMITED (XBOM:507514),113523.68,SDBL.NS
VALIANTORG,VALIANT ORGANICS LIMITED (XNSE:VALIANTORG),113189.31,VALIANTORG.NS
ARMANFIN,ARMAN FINANCIAL SERVICES LIMITED (XNSE:ARMANFIN),112901.33,ARMANFIN.NS
REPCOHOME,REPCO HOME FINANCE LIMITED (XNSE:REPCOHOME),112454.05,REPCOHOME.NS
HERANBA,Heranba Industries Ltd (XNSE:HERANBA),111997.69,HERANBA.NS
BFUTILITIE,BF UTILITIES LIMITED (XNSE:BFUTILITIE),111929.36,BFUTILITIE.NS
PRECWIRE,PRECISION WIRES INDIA LIMITED (XNSE:PRECWIRE),111097.51,PRECWIRE.NS
AXITA,AXITA COTTON LIMITED (XNSE:AXITA),110958.12,AXITA.NS
GRMOVER,GRM OVERSEAS LIMITED (XNSE:GRMOVER),110070,GRMOVER.NS
GTPL,GTPL HATHWAY LIMITED (XNSE:GTPL),109820.16,GTPL.NS
IGARASHI,IGARASHI MOTORS INDIA LIMITED (XNSE:IGARASHI),109564.64,IGARASHI.NS
INFOBEAN,INFOBEANS TECHNOLOGIES LIMITED (XNSE:INFOBEAN),109116.43,INFOBEAN.NS
ALICON,ALICON CASTALLOY LIMITED (XNSE:ALICON),109044.93,ALICON.NS
THEMISMED,THEMIS MEDICARE LIMITED (XNSE:THEMISMED),108578.88,THEMISMED.NS
TVTODAY,T.V. TODAY NETWORK LIMITED. (XNSE:TVTODAY),108000.19,TVTODAY.NS
WHEELS,WHEELS INDIA LIMITED (XNSE:WHEELS),107965.64,WHEELS.NS
RPSGVENT,RPSG VENTURES LIMITED (XNSE:RPSGVENT),107687.13,RPSGVENT.NS
RAMCOIND,RAMCO INDUSTRIES LIMITED (XNSE:RAMCOIND),107686.64,RAMCOIND.NS
SMLISUZU,SML ISUZU LIMITED (XNSE:SMLISUZU),107451.97,SMLISUZU.NS
AHL,ABANS HOLDINGS LIMITED (XNSE:AHL),107036.53,AHL.NS
UNIENTER,UNIPHOS ENTERPRISES LIMITED (XNSE:UNIENTER),106196.51,UNIENTER.NS
SATIN,SATIN CREDITCARE NETWORK LIMITED (XNSE:SATIN),105985.92,SATIN.NS
KUANTUM,KUANTUM PAPERS LIMITED (XNSE:KUANTUM),105894.42,KUANTUM.NS
GANESHBE,GANESH BENZOPLAST LIMITED (XNSE:GANESHBE),105859.5,GANESHBE.NS
SUVEN,SUVEN LIFE SCIENCES LIMITED (XNSE:SUVEN),105765.75,SUVEN.NS
SATIA,SATIA INDUSTRIES LIMITED (XNSE:SATIA),105500,SATIA.NS
GULPOLY,GULSHAN POLYOLS LIMITED (XNSE:GULPOLY),105146.41,GULPOLY.NS
UGARSUGAR,The Ugar Sugar Works Limited,104287.5,UGARSUGAR.NS
MANALIPETC,Manali Petrochemicals Limited (XNSE:MANALIPETC),103715.54,MANALIPETC.NS
PIXTRANS,PIX TRANSMISSIONS LTD (XNSE:PIXTRANS),103626.46,PIXTRANS.NS
SHRIRAMPPS,SHRIRAM PROPERTIES LIMITED (XNSE:SHRIRAMPPS),103423.15,SHRIRAMPPS.NS
RADIANTCMS,RADIANT CASH MANAGEMENT SERVICES LIMITED (XNSE:RADIANTCMS),103079.84,RADIANTCMS.NS
PNBGILTS,PNB GILTS LIMITED (XNSE:PNBGILTS),102965.8,PNBGILTS.NS
INDORAMA,INDO RAMA SYNTHETICS (INDIA) LIMITED (XNSE:INDORAMA),102617.47,INDORAMA.NS
ASHAPURMIN,ASHAPURA MINECHEM LTD (XNSE:ASHAPURMIN),102555.92,ASHAPURMIN.NS
UGROCAP,UGRO CAPITAL LIMITED (XNSE:UGROCAP),102346.29,UGROCAP.NS
AXISCADES,AXISCADES TECHNOLOGIES LIMITED (XNSE:AXISCADES),102183.15,AXISCADES.NS
HITECH,HI-TECH PIPES LTD (XNSE:HITECH),102057.08,HITECH.NS
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,101506.37,PUNJABCHEM.NS
SURYODAY,SURYODAY SMALL FINANCE BANK LIMITED (XNSE:SURYODAY),101116.21,SURYODAY.NS
EKC,EVEREST KANTO CYLINDER LIMITED (XNSE:EKC),101099.12,EKC.NS
JASH,JASH ENGINEERING LTD (XNSE:JASH),100997.51,JASH.NS
DPSCLTD,DPSC Limited,100787.23,DPSCLTD.NS
TARC,TARC LIMITED (XNSE:TARC),100627.85,TARC.NS
BHARATWIRE,BHARAT WIRE ROPES LIMITED (XNSE:BHARATWIRE),99993.93,BHARATWIRE.NS
EXCELINDUS,EXCEL INDUSTRIES LIMITED (XNSE:EXCELINDUS),99943.29,EXCELINDUS.NS
SPECIALITY,SPECIALITY RESTAURANTS LIMITED (XNSE:SPECIALITY),99761.54,SPECIALITY.NS
ANUP,THE ANUP ENGINEERING LIMITED (XNSE:ANUP),99129.73,ANUP.NS
SKIPPER,SKIPPER LIMITED (XNSE:SKIPPER),98768.74,SKIPPER.NS
AJMERA,AJMERA REALTY & INFRA INDIA LIMITED (XNSE:AJMERA),98257.62,AJMERA.NS
SHALPAINTS,SHALIMAR PAINTS LTD (XNSE:SHALPAINTS),98251.13,SHALPAINTS.NS
GMBREW,GM Breweries Limited,97702.58,GMBREW.NS
SANGAMIND,SANGAM (INDIA) LIMITED (XNSE:SANGAMIND),96872.63,SANGAMIND.NS
SHIVALIK,SHIVALIK RASAYAN LIMITED (XNSE:SHIVALIK),96795.3,SHIVALIK.NS
GMRP&UI,GMR POWER AND URBAN INFRA LIMITED (XNSE:GMRP&UI),96273.33,GMRP&UI.NS
PENIND,PENNAR INDUSTRIES LIMITED (XNSE:PENIND),95474.46,PENIND.NS
GEOJITFSL,GEOJIT FINANCIAL SERVICES LIMITED (XNSE:GEOJITFSL),95397.99,GEOJITFSL.NS
BCLIND,BCL INDUSTRIES LIMITED (XNSE:BCLIND),95078.55,BCLIND.NS
DBOL,DHAMPUR BIO ORGANICS LIMITED (XNSE:DBOL),95033.84,DBOL.NS
SHAILY,SHAILY ENGINEERING PLASTICS LIMITED (XNSE:SHAILY),94340.29,SHAILY.NS
LIKHITHA,Likhitha Infrastructure Ltd (XNSE:LIKHITHA),92904.75,LIKHITHA.NS
MADRASFERT,MADRAS FERTILIZERS LIMITED (XNSE:MADRASFERT),92552.7,MADRASFERT.NS
STEELCAS,Steelcast Limited,92375.36,STEELCAS.NS
MKPL,M K PROTEINS LIMITED (XNSE:MKPL),91340.52,MKPL.NS
ROSSELLIND,ROSSELL INDIA LIMITED (XNSE:ROSSELLIND),91319.71,ROSSELLIND.NS
KITEX,KITEX GARMENTS LIMITED (XNSE:KITEX),91204.75,KITEX.NS
PRAKASH,PRAKASH INDUSTRIES LIMITED (XNSE:PRAKASH),91152.66,PRAKASH.NS
ARTEMISMED,ARTEMIS MEDICARE SERVICES LIMITED (XNSE:ARTEMISMED),91066.63,ARTEMISMED.NS
RICOAUTO,RICO AUTO INDUSTRIES LIMITED (XNSE:RICOAUTO),90979.16,RICOAUTO.NS
OMAXE,OMAXE LIMITED (XNSE:OMAXE),90901.57,OMAXE.NS
CENTUM,CENTUM ELECTRONICS LIMITED (XNSE:CENTUM),90869.92,CENTUM.NS
ROTO,ROTO PUMPS LIMITED (XNSE:ROTO),90799.4,ROTO.NS
PRECAM,PRECISION CAMSHAFTS LIMITED (XNSE:PRECAM),90426.51,PRECAM.NS
BIGBLOC,BIGBLOC CONSTRUCTION LIMITED (XNSE:BIGBLOC),90396.12,BIGBLOC.NS
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,89444.91,SHREDIGCEM.NS
CLSEL,CHAMAN LAL SETIA EXPORTS LIMITED (XNSE:CLSEL),88826.51,CLSEL.NS
GTLINFRA,GTL infrastructure ltd (XNSE:GTLINFRA),88697.72,GTLINFRA.NS
PGIL,Pearl Global Industries Limited (XNSE:PGIL),88648.83,PGIL.NS
UTTAMSUGAR,UTTAM SUGAR MILLS LIMITED (XNSE:UTTAMSUGAR),88213.47,UTTAMSUGAR.NS
AVADHSUGAR,AVADH SUGAR & ENERGY LIMITED (XNSE:AVADHSUGAR),87310.34,AVADHSUGAR.NS
PITTIENG,PITTI ENGINEERING LIMITED (XNSE:PITTIENG),86839.66,PITTIENG.NS
5PAISA,5PAISA CAPITAL LIMITED (XNSE:5PAISA),86698.66,5PAISA.NS
NAHARSPING,NAHAR SPINNING MILLS LTD (XNSE:NAHARSPING),86664.92,NAHARSPING.NS
SPCENET,SPACENET ENTERPRISES INDIA LIMITED (XNSE:SPCENET),86187.77,SPCENET.NS
SPORTKING,SPORTKING INDIA LIMITED (XNSE:SPORTKING),85928.32,SPORTKING.NS
DEEPINDS,DEEP INDUSTRIES LIMITED (XNSE:DEEPINDS),85920,DEEPINDS.NS
PARAGMILK,PARAG MILK FOODS LIMITED (XNSE:PARAGMILK),85390.92,PARAGMILK.NS
AGARIND,AGARWAL INDUSTRIAL CORPORATION LIMITED (XNSE:AGARIND),85192.09,AGARIND.NS
CONTROLPR,CONTROL PRINT LIMITED (XNSE:CONTROLPR),85071.89,CONTROLPR.NS
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED (XNSE:BAJAJHCARE),84685.69,BAJAJHCARE.NS
KAMDHENU,Kamdhenu Limited,84348.52,KAMDHENU.NS
CHEMCON,CHEMCON SPECIALITY CHEMICALS LIMITED (XNSE:CHEMCON),83811.04,CHEMCON.NS
GICHSGFIN,GIC HOUSING FINANCE LIMITED (XNSE:GICHSGFIN),83388.38,GICHSGFIN.NS
MEDICAMEQ,MEDICAMEN BIOTECH LIMITED (XNSE:MEDICAMEQ),83358.1,MEDICAMEQ.NS
DLINKINDIA,D-LINK CORPORATION (XTAI:2332),82815.06,DLINKINDIA.NS
ARIHANTSUP,Arihant Superstructures Limited (XNSE:ARIHANTSUP),81537.94,ARIHANTSUP.NS
VHL,VARDHMAN HOLDINGS LIMITED (XNSE:VHL),81521.4,VHL.NS
PFS,PTC INDIA FINANCIAL SERVICES LIMITED (XNSE:PFS),81248.84,PFS.NS
HEXATRADEX,HEXA TRADEX LIMITED (XNSE:HEXATRADEX),81126.85,HEXATRADEX.NS
CAPACITE,Capacit'e Infraprojects Limited,80756.94,CAPACITE.NS
SPAL,S. P. Apparels Limited,80747.99,SPAL.NS
NCLIND,NCL INDUSTRIES LTD (XNSE:NCLIND),80672.68,NCLIND.NS
63MOONS,63 MOONS TECHNOLOGIES LIMITED (XNSE:63MOONS),80522.24,63MOONS.NS
NAVKARCORP,NAVKAR CORPORATION LIMITED (XNSE:NAVKARCORP),79624.65,NAVKARCORP.NS
ORIENTPPR,ORIENT PAPER AND INDUSTRIES LTD. (XNSE:ORIENTPPR),79357.5,ORIENTPPR.NS
DREDGECORP,DREDGING CORPORATION OF INDIA LIMITED (XNSE:DREDGECORP),79240,DREDGECORP.NS
AMBIKCO,AMBIKA COTTON MILLS LIMITED (XNSE:AMBIKCO),78964.93,AMBIKCO.NS
CENTRUM,CENTRUM CAPITAL LIMITED (XNSE:CENTRUM),78630.19,CENTRUM.NS
LINC,LINC LIMITED (XNSE:LINC),78592.62,LINC.NS
RGL,RENAISSANCE GLOBAL LIMITED (XNSE:RGL),78255.28,RGL.NS
SCHAND,S CHAND AND COMPANY LIMITED (XNSE:SCHAND),78187.69,SCHAND.NS
NELCAST,NELCAST LIMITED (XNSE:NELCAST),77257.07,NELCAST.NS
FAZE3Q,FAZE THREE LIMITED (XNSE:FAZE3Q),76933.16,FAZE3Q.NS
KICL,KALYANI INVESTMENT COMPANY LIMITED (XNSE:KICL),76471.43,KICL.NS
DVL,DHUNSERI VENTURES LIMITED (XNSE:DVL),76371.48,DVL.NS
JAGSNPHARM,JAGSONPAL PHARMACEUTICALS LIMITED. (XNSE:JAGSNPHARM),75921.8,JAGSNPHARM.NS
POKARNA,POKARNA LIMITED (XNSE:POKARNA),75820.28,POKARNA.NS
IFGLEXPOR,IFGL REFRACTORIES LIMITED (XNSE:IFGLEXPOR),75484.34,IFGLEXPOR.NS
TRIL,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED (XNSE:TRIL),75428.98,TRIL.NS
CENTENKA,CENTURY ENKA LIMITED (XNSE:CENTENKA),75209.73,CENTENKA.NS
SMCGLOBAL,SMC GLOBAL SECURITIES LIMITED (XNSE:SMCGLOBAL),74912.85,SMCGLOBAL.NS
ROHLTD,ROYAL ORCHID HOTELS LIMITED (XNSE:ROHLTD),74761.14,ROHLTD.NS
INDNIPPON,INDIA NIPPON ELECTRICALS LIMITED (XNSE:INDNIPPON),74741.18,INDNIPPON.NS
SHAKTIPUMP,SHAKTI PUMPS (INDIA) LIMITED (XNSE:SHAKTIPUMP),74329.35,SHAKTIPUMP.NS
NGLFINE,NGL FINE-CHEM LIMITED (XNSE:NGLFINE),74241.31,NGLFINE.NS
IMPAL,India Motor Parts and Accessories Limited,74156.16,IMPAL.NS
BLISSGVS,BLISS GVS PHARMA LIMITED (XNSE:BLISSGVS),74104.63,BLISSGVS.NS
ALLSEC,ALLSEC TECHNOLOGIES LIMITED (XNSE:ALLSEC),74065.88,ALLSEC.NS
ORIENTBELL,ORIENT BELL LIMITED (XNSE:ORIENTBELL),73159.73,ORIENTBELL.NS
MANGLMCEM,MANGALAM CEMENT LTD (XNSE:MANGLMCEM),72977.83,MANGLMCEM.NS
SANDESH,THE SANDESH LIMITED (XNSE:SANDESH),72764.84,SANDESH.NS
BODALCHEM,BODAL CHEMICALS LIMITED (XNSE:BODALCHEM),72484.74,BODALCHEM.NS
ESTER,ESTER INDUSTRIES LIMITED (XNSE:ESTER),72469.18,ESTER.NS
ZOTA,ZOTA HEALTH CARE LIMITED (XNSE:ZOTA),70889.22,ZOTA.NS
RSWM,RSWM LIMITED (XNSE:RSWM),70793.83,RSWM.NS
INDRAMEDCO,INDRAPRASTHA MEDICAL CORPORATION LIMITED (XNSE:INDRAMEDCO),70634.05,INDRAMEDCO.NS
QUICKHEAL,Quick Heal Technologies Limited (XNSE:QUICKHEAL),70561.68,QUICKHEAL.NS
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited (XNSE:SRHHYPOLTD),70375.77,SRHHYPOLTD.NS
AURIONPRO,AURIONPRO SOLUTIONS LIMITED (XNSE:AURIONPRO),70235.91,AURIONPRO.NS
GSLSU,GLOBAL SURFACES LIMITED (XNSE:GSLSU),70205.48,GSLSU.NS
SASTASUNDR,SASTASUNDAR VENTURES LIMITED (XNSE:SASTASUNDR),70158.06,SASTASUNDR.NS
MANAKSIA,MANAKSIA LIMITED (XNSE:MANAKSIA),70055.9,MANAKSIA.NS
AWHCL,ANTONY WASTE HANDLING CELL LIMITED (XNSE:AWHCL),70053.18,AWHCL.NS
BLKASHYAP,B. L. Kashyap and Sons Limited,69886.4,BLKASHYAP.NS
RAMRAT,RAM RATNA WIRES LIMITED (XNSE:RAMRAT),69564,RAMRAT.NS
JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED (XNSE:JINDRILL),69525.67,JINDRILL.NS
VIMTALABS,VIMTA LABS LIMITED (XNSE:VIMTALABS),69451.83,VIMTALABS.NS
DPABHUSHAN,D. P. Abhushan Limited,68956.65,DPABHUSHAN.NS
MOLDTECH,MOLD-TEK TECHNOLOGIES LIMITED (XNSE:MOLDTECH),68940.1,MOLDTECH.NS
ATULAUTO,ATUL AUTO LTD (XNSE:ATULAUTO),68769.99,ATULAUTO.NS
KOKUYOCMLN,KOKUYO CAMLIN LIMITED (XNSE:KOKUYOCMLN),68657.96,KOKUYOCMLN.NS
SIGACHI,SIGACHI INDUSTRIES LIMITED (XNSE:SIGACHI),68632.63,SIGACHI.NS
HIMATSEIDE,HIMATSINGKA SEIDE LIMITED. (XNSE:HIMATSEIDE),68033.9,HIMATSEIDE.NS
LINCOLN,LINCOLN PHARMACEUTICALS LTD (XNSE:LINCOLN),67950.85,LINCOLN.NS
GREENPOWER,ORIENT GREEN POWER COMPANY LIMITED (XNSE:GREENPOWER),67940.52,GREENPOWER.NS
EMAMIPAP,EMAMI PAPER MILLS LIMITED (XNSE:EMAMIPAP),67758.94,EMAMIPAP.NS
SATINDLTD,SAT INDUSTRIES LIMITED. (XNSE:SATINDLTD),67455.2,SATINDLTD.NS
RAMCOSYS,RAMCO SYSTEMS LIMITED (XNSE:RAMCOSYS),67302.63,RAMCOSYS.NS
HPAL,HP ADHESIVES LIMITED (XNSE:HPAL),67013.43,HPAL.NS
OCCL,ORIENTAL CARBON & CHEMICALS LTD (XNSE:OCCL),66953.6,OCCL.NS
FOCUS,FOCUS LIGHTING AND FIXTURES LIMITED (XNSE:FOCUS),66946.53,FOCUS.NS
GEPIL,GE POWER INDIA LIMITED (XNSE:GEPIL),66689.65,GEPIL.NS
SUTLEJTEX,SUTLEJ TEXTILES AND INDUSTRIES LIMITED (XNSE:SUTLEJTEX),66432.51,SUTLEJTEX.NS
