Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",Symbol.NS
UCOBANK,UCO Bank (XNSE:UCOBANK),2905297.84,UCOBANK.NS
JUBLFOOD,Jubilant FoodWorks Limited (XNSE:JUBLFOOD),2903978.73,JUBLFOOD.NS
POLICYBZR,PB FINTECH LIMITED (XNSE:POLICYBZR),2875793.35,POLICYBZR.NS
GODREJPROP,GODREJ PROPERTIES LIMITED (XNSE:GODREJPROP),2866540.1,GODREJPROP.NS
M&MFIN,Mahindra & Mahindra Financial Services Limited,2862105.06,M&MFIN.NS
IDEA,VODAFONE IDEA LIMITED (XNSE:IDEA),2823421.97,IDEA.NS
OFSS,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED (XNSE:OFSS),2819710.22,OFSS.NS
FEDERALBNK,THE FEDERAL BANK LTD (XNSE:FEDERALBNK),2801027.34,FEDERALBNK.NS
MANYAVAR,Vedant Fashions Ltd (XNSE:MANYAVAR),2765607.75,MANYAVAR.NS
UNOMINDA,UNO MINDA LIMITED (XNSE:UNOMINDA),2755449.63,UNOMINDA.NS
AIAENG,AIA ENGINEERING LIMITED (XNSE:AIAENG),2738214.66,AIAENG.NS
THERMAX,THERMAX LIMITED. (XNSE:THERMAX),2731896.49,THERMAX.NS
OIL,OIL INDIA LIMITED (XBOM:533106),2728905.67,OIL.NS
VOLTAS,VOLTAS LIMITED (XNSE:VOLTAS),2707464.39,VOLTAS.NS
3MINDIA,3M INDIA LIMITED (XNSE:3MINDIA),2586893.78,3MINDIA.NS
COROMANDEL,COROMANDEL INTERNATIONAL LIMITED (XNSE:COROMANDEL),2585080.72,COROMANDEL.NS
SUNDARMFIN,SUNDARAM FINANCE LIMITED (XNSE:SUNDARMFIN),2554833.26,SUNDARMFIN.NS
KPITTECH,KPIT TECHNOLOGIES LIMITED (XNSE:KPITTECH),2536104.37,KPITTECH.NS
DEEPAKNTR,DEEPAK NITRITE LIMITED (XNSE:DEEPAKNTR),2513178.17,DEEPAKNTR.NS
ESCORTS,Escorts Kubota Limited (XNSE:ESCORTS),2495062.79,ESCORTS.NS
BIOCON,NATURAL BIOCON (INDIA) LIMITED (XBOM:543207),2477438.1,BIOCON.NS
TATACHEM,TATA CHEMICALS LIMITED (XNSE:TATACHEM),2477377.43,TATACHEM.NS
TORNTPOWER,TORRENT POWER LIMITED (XNSE:TORNTPOWER),2453068.07,TORNTPOWER.NS
GMRINFRA,GMR AIRPORTS INFRASTRUCTURE LIMITED (XNSE:GMRINFRA),2447575.81,GMRINFRA.NS
BHEL,BHARAT HEAVY ELECTRICALS LIMITED (XNSE:BHEL),2439185.38,BHEL.NS
SONACOMS,Sona BLW Precision Forgings Ltd (XNSE:SONACOMS),2420647.95,SONACOMS.NS
DELHIVERY,DELHIVERY LIMITED (XNSE:DELHIVERY),2416783.79,DELHIVERY.NS
SYNGENE,SYNGENE INTERNATIONAL LIMITED (XNSE:SYNGENE),2386528.1,SYNGENE.NS
CRISIL,CRISIL Limited (XNSE:CRISIL),2352052.27,CRISIL.NS
GICRE,GENERAL INSURANCE CORPORATION OF INDIA (XNSE:GICRE),2344755.6,GICRE.NS
COFORGE,COFORGE LIMITED (XNSE:COFORGE),2329509.1,COFORGE.NS
PHOENIXLTD,THE PHOENIX MILLS LIMITED (XNSE:PHOENIXLTD),2323554.64,PHOENIXLTD.NS
JKCEMENT,J. K. CEMENT LIMITED. (XNSE:JKCEMENT),2259091.85,JKCEMENT.NS
POONAWALLA,POONAWALLA FINCORP LIMITED (XNSE:POONAWALLA),2246206.85,POONAWALLA.NS
GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED (XNSE:GLAXO),2244206.44,GLAXO.NS
MFSL,Max Financial Services Limited (XNSE:MFSL),2191478.8,MFSL.NS
METROBRAND,METRO BRANDS LIMITED (XNSE:METROBRAND),2159328.04,METROBRAND.NS
MSUMI,MOTHERSON SUMI WIRING INDIA LIMITED (XNSE:MSUMI),2133184.58,MSUMI.NS
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED (XNSE:SUMICHEM),2126859.98,SUMICHEM.NS
RELAXO,RELAXO FOOTWEARS LIMITED (XBOM:530517),2118236.19,RELAXO.NS
NAVINFLUOR,NAVIN FLUORINE INTERNATIONAL LIMITED (XNSE:NAVINFLUOR),2116258.04,NAVINFLUOR.NS
SKFINDIA,SKF INDIA LIMITED (XNSE:SKFINDIA),2103956.11,SKFINDIA.NS
CENTRALBK,CENTRAL BANK OF INDIA LIMITED (XNSE:CENTRALBK),2092106.4,CENTRALBK.NS
GLAND,GLAND PHARMA LTD (XNSE:GLAND),2088683.75,GLAND.NS
KANSAINER,KANSAI NEROLAC PAINTS LIMITED (XNSE:KANSAINER),2084541.48,KANSAINER.NS
GRINDWELL,GRINDWELL NORTON LIMITED (XNSE:GRINDWELL),2079764.48,GRINDWELL.NS
TIMKEN,TIMKEN INDIA LIMITED (XNSE:TIMKEN),2072614.61,TIMKEN.NS
IPCALAB,IPCA LABORATORIES LIMITED (XNSE:IPCALAB),2055892.13,IPCALAB.NS
SUNDRMFAST,SUNDRAM FASTENERS LIMITED (XNSE:SUNDRMFAST),2055055.46,SUNDRMFAST.NS
ATUL,ATUL LIMITED (XNSE:ATUL),2053876.97,ATUL.NS
ZEEL,Zee Entertainment Enterprises Limited (XNSE:ZEEL),2038702.47,ZEEL.NS
L&TFH,L&T FINANCE HOLDINGS LIMITED (XNSE:L&TFH),2034570.15,L&TFH.NS
ABFRL,Aditya Birla Fashion and Retail Limited (XNSE:ABFRL),2033642.08,ABFRL.NS
APOLLOTYRE,APOLLO TYRES LIMITED. (XNSE:APOLLOTYRE),2031687.93,APOLLOTYRE.NS
KPRMILL,K.P.R. Mill Limited,1976026.73,KPRMILL.NS
ZFCVINDIA,ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LIMITED (XNSE:ZFCVINDIA),1974307.37,ZFCVINDIA.NS
FORTIS,Fortis Healthcare Limited (XNSE:FORTIS),1962136.23,FORTIS.NS
AARTIIND,AARTI INDUSTRIES LTD (XNSE:AARTIIND),1878314.66,AARTIIND.NS
HATSUN,HATSUN AGRO PRODUCT LIMITED (XBOM:531531),1876431.41,HATSUN.NS
CARBORUNIV,CARBORUNDUM UNIVERSAL LIMITED (XNSE:CARBORUNIV),1871931.77,CARBORUNIV.NS
CROMPTON,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED (XBOM:539876),1863439.56,CROMPTON.NS
VINATIORGA,VINATI ORGANICS LIMITED (XNSE:VINATIORGA),1858710.59,VINATIORGA.NS
IIFL,IIFL FINANCE LIMITED (XNSE:IIFL),1855992.63,IIFL.NS
BATAINDIA,BATA INDIA LTD (XNSE:BATAINDIA),1822970.36,BATAINDIA.NS
BDL,BHARAT DYNAMICS LIMITED (XNSE:BDL),1812101.72,BDL.NS
LICHSGFIN,LIC HOUSING FINANCE LTD (XNSE:LICHSGFIN),1808332.11,LICHSGFIN.NS
RAJESHEXPO,RAJESH EXPORTS LIMITED (XNSE:RAJESHEXPO),1801381.01,RAJESHEXPO.NS
RAMCOCEM,THE RAMCO CEMENTS LIMITED (XNSE:RAMCOCEM),1787906.29,RAMCOCEM.NS
ENDURANCE,ENDURANCE TECHNOLOGIES LIMITED (XNSE:ENDURANCE),1746540.25,ENDURANCE.NS
DEVYANI,Devyani International Limited (XNSE:DEVYANI),1742976.63,DEVYANI.NS
PSB,Punjab & Sind Bank (XNSE:PSB),1738502.22,PSB.NS
DIXON,DIXON TECHNOLOGIES (INDIA) LIMITED (XNSE:DIXON),1704195,DIXON.NS
KAJARIACER,KAJARIA CERAMICS LIMITED (XNSE:KAJARIACER),1678788.77,KAJARIACER.NS
WHIRLPOOL,WHIRLPOOL OF INDIA LIMITED (XNSE:WHIRLPOOL),1668428,WHIRLPOOL.NS
MAHABANK,THE BANK OF MAHARASHTRA LIMITED (XNSE:MAHABANK),1665797.87,MAHABANK.NS
SUNTV,SUN TV NETWORK LIMITED (XNSE:SUNTV),1638800.89,SUNTV.NS
PEL,Piramal Enterprises Limited (XNSE:PEL),1618975.21,PEL.NS
PRESTIGE,PRESTIGE ESTATES PROJECTS LIMITED (XNSE:PRESTIGE),1616274.19,PRESTIGE.NS
NIACL,THE NEW INDIA ASSURANCE COMPANY LIMITED (XNSE:NIACL),1603504,NIACL.NS
RADICO,RADICO KHAITAN LIMITED (XBOM:532497),1596866.8,RADICO.NS
PFIZER,PFIZER LIMITED (XNSE:PFIZER),1586142.49,PFIZER.NS
NH,NARAYANA HRUDAYALAYA Limited (XNSE:NH),1582059.16,NH.NS
EMAMILTD,EMAMI REALTY LIMITED (XNSE:EMAMIREAL),1581743.33,EMAMILTD.NS
LAURUSLABS,LAURUS LABS LIMITED (XNSE:LAURUSLABS),1577977.88,LAURUSLABS.NS
FIVESTAR,FIVE-STAR BUSINESS FINANCE LIMITED (XNSE:FIVESTAR),1575125.24,FIVESTAR.NS
AJANTPHARM,AJANTA PHARMA LIMITED (XNSE:AJANTPHARM),1548776.87,AJANTPHARM.NS
INDIAMART,INDIAMART INTERMESH LIMITED (XNSE:INDIAMART),1536775.08,INDIAMART.NS
